name,firstCommit,#Commits
src/java/org/apache/avro/specific/SpecificResponder.java,commit 777d0477c689d2fd9ebfe72dbd4e4dbab705a99f 1253913053 -----sp,1
src/java/org/apache/avro/util/Utf8.java,,0
lang/java/src/java/org/apache/avro/AvroRuntimeException.java,commit 2b43cbdc5d51752325dd9f29a669dcc532a1c6b0 1263258223 -----sp,1
lang/java/src/java/org/apache/avro/AvroTypeException.java,commit 2b43cbdc5d51752325dd9f29a669dcc532a1c6b0 1263258223 -----sp,1
lang/java/src/java/org/apache/avro/Protocol.java,commit 835e48610941ae55f70c71c7542482f30500e961 1265686483 -----sp,3
lang/java/src/java/org/apache/avro/Schema.java,commit 835e48610941ae55f70c71c7542482f30500e961 1265686483 -----sp,7
lang/java/src/java/org/apache/avro/SchemaParseException.java,commit 2b43cbdc5d51752325dd9f29a669dcc532a1c6b0 1263258223 -----sp,1
lang/java/src/java/org/apache/avro/file/Codec.java,commit 1e9fe807f93282fe8c98cab35642ca160ec1e368 1266621417 -----sp,4
lang/java/src/java/org/apache/avro/file/CodecFactory.java,commit 1e9fe807f93282fe8c98cab35642ca160ec1e368 1266621417 -----sp,2
lang/java/src/java/org/apache/avro/file/DataFileConstants.java,commit c85ab4b4f9a40f760fe781542d50a414cf1393e4 1264531914 -----sp,3
lang/java/src/java/org/apache/avro/file/DataFileReader.java,commit 1e9fe807f93282fe8c98cab35642ca160ec1e368 1266621417 -----sp,3
lang/java/src/java/org/apache/avro/file/DataFileStream.java,commit 1e9fe807f93282fe8c98cab35642ca160ec1e368 1266621417 -----sp,6
lang/java/src/java/org/apache/avro/file/DataFileWriter.java,commit 1e9fe807f93282fe8c98cab35642ca160ec1e368 1266621417 -----sp,6
lang/java/src/java/org/apache/avro/file/DeflateCodec.java,commit 1e9fe807f93282fe8c98cab35642ca160ec1e368 1266621417 -----sp,5
lang/java/src/java/org/apache/avro/file/LengthLimitedInputStream.java,commit 56f6af364fa4d8d20e1bf7ed138e8445586b1ac6 1264123680 -----sp,1
lang/java/src/java/org/apache/avro/file/NullCodec.java,commit 1e9fe807f93282fe8c98cab35642ca160ec1e368 1266621417 -----sp,5
lang/java/src/java/org/apache/avro/file/SeekableFileInput.java,commit 2b43cbdc5d51752325dd9f29a669dcc532a1c6b0 1263258223 -----sp,1
lang/java/src/java/org/apache/avro/file/SeekableInput.java,commit 2b43cbdc5d51752325dd9f29a669dcc532a1c6b0 1263258223 -----sp,1
lang/java/src/java/org/apache/avro/generic/GenericArray.java,commit 2b43cbdc5d51752325dd9f29a669dcc532a1c6b0 1263258223 -----sp,1
lang/java/src/java/org/apache/avro/generic/GenericContainer.java,commit 2b43cbdc5d51752325dd9f29a669dcc532a1c6b0 1263258223 -----sp,1
lang/java/src/java/org/apache/avro/generic/GenericData.java,commit 835e48610941ae55f70c71c7542482f30500e961 1265686483 -----sp,6
lang/java/src/java/org/apache/avro/generic/GenericDatumReader.java,commit 835e48610941ae55f70c71c7542482f30500e961 1265686483 -----sp,5
lang/java/src/java/org/apache/avro/generic/GenericDatumWriter.java,commit 835e48610941ae55f70c71c7542482f30500e961 1265686483 -----sp,3
lang/java/src/java/org/apache/avro/generic/GenericFixed.java,commit 2b43cbdc5d51752325dd9f29a669dcc532a1c6b0 1263258223 -----sp,1
